"",""
"Action","Action"
"Add Config","Add Config"
"An error occurred while updating the configs.","An error occurred while updating the configs."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Config was saved","Config was saved"
"Config was successfully deleted.","Config was successfully deleted."
"Config was successfully saved","Config was successfully saved"
"Config","Config"
"Configs","Configs"
"Configuration XML","Configuration XML"
"Could not find config to delete.","Could not find config to delete."
"Created at","Created at"
"Delete Config","Delete Config"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Config '%s'","Edit Config '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving config","Error saving config"
"Excel","Excel"
"File Name","File Name"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select configs to delete.","Please select configs to delete."
"Please select configs.","Please select configs."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Config","Save Config"
"Scope","Scope"
"Status","Status"
"Store views","Store views"
"The configs has been deleted.","The configs has been deleted."
"There was a problem saving the config.","There was a problem saving the config."
"There was an error deleting config.","There was an error deleting config."
"There was an error deleting configs.","There was an error deleting configs."
"There was an error updating configs.","There was an error updating configs."
"This config no longer exists.","This config no longer exists."
"Total of %d configs were successfully deleted.","Total of %d configs were successfully deleted."
"Total of %d configs were successfully updated.","Total of %d configs were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find config to save.","Unable to find config to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"configuration file name (it should be .xml file and you should put .xml extenios along with file name)","configuration file name (it should be .xml file and you should put .xml extenios along with file name)"